,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
105,1.5,0.0,6,0.452,0.405,44,6-6,21.8,0.9,7.1,Wesley Person,SG,3.0,5600000,1600000,0.9,CLE,16.3,2001,0.28800000000000003
106,0.9,2.3,2,0.5,0.0,70,6-8,17.3,0.3,5.7,Robert Traylor,C,4.3,2203080,1600000,1.4,CLE,18.0,2001,0.006
107,1.3,1.8,8,0.501,0.23800000000000002,82,6-6,33.8,0.2,11.3,Clarence Weatherspoon,PF,9.7,2100000,5899400,1.4,CLE,15.2,2001,0.0
108,0.7,3.4,5,0.445,0.0,73,6-9,24.8,0.8,10.5,Alan Henderson,PF,5.6,5910000,8273125,1.7,ATL,22.6,2001,0.001
109,2.9,0.4,8,0.341,0.42100000000000004,17,6-6,32.4,,14.3,Jim Jackson,SF,4.6,2330000,2420000,2.8,ATL,24.6,2001,0.175
110,1.4,0.4,3,0.382,0.0,25,6-3,11.2,,2.6,Anthony Johnson,PG,0.9,1200000,2420000,0.8,ATL,15.8,2001,0.042
111,0.8,0.0,R,0.39899999999999997,0.32299999999999995,78,6-9,16.8,0.8,5.1,DerMarr Johnson,SF,2.3,2107200,865063,1.2,ATL,17.7,2001,0.326
112,1.1,3.4,9,0.47700000000000004,0.42100000000000004,49,7-2,35.0,0.8,9.1,Dikembe Mutombo,C,14.1,14400000,4496434,1.9,ATL,13.4,2001,0.0
113,4.9,3.4,1,0.44799999999999995,0.395,82,6-2,37.7,2.9,19.7,Jason Terry,SG,3.3,1579080,7500000,2.9,ATL,25.5,2001,0.23
114,1.2,3.4,4,0.449,0.0,71,6-11,28.0,0.8,12.4,Lorenzen Wright,C,7.5,4950000,7150000,1.8,ATL,23.2,2001,0.002
115,3.2,0.5,1,0.47700000000000004,0.0,74,6-8,39.3,1.7,20.1,Elton Brand,PF,10.1,3629160,12056000,3.0,CHI,26.3,2001,0.002
116,2.3,2.1,R,0.353,0.35,61,6-5,17.2,,4.6,Jamal Crawford,PG,1.5,1762320,5760000,1.4,CHI,17.9,2001,0.385
117,1.1,0.0,R,0.442,0.256,72,6-9,21.9,,9.5,Marcus Fizer,PF,4.3,2562000,735960,1.7,CHI,24.7,2001,0.06
118,3.6,0.0,5,0.465,0.41200000000000003,74,6-4,30.4,1.6,9.1,Fred Hoiberg,SG,4.2,880000,1600000,1.0,CHI,13.2,2001,0.505
119,3.3,0.3,3,0.452,0.304,61,6-7,41.6,1.6,19.7,Ron Mercer,SG,3.9,5520000,1600000,2.1,CHI,24.8,2001,0.040999999999999995
120,1.9,0.0,2,0.43799999999999994,0.2,57,6-11,25.2,,8.9,Brad Miller,C,7.4,4000000,7875000,1.3,CHI,18.1,2001,0.013000000000000001
121,0.9,2.1,1,0.444,0.391,45,6-9,19.5,,2.6,Michael Ruffin,PF,5.8,440000,1670000,1.0,CHI,9.0,2001,0.0
122,0.3,0.4,R,0.44,0.0,16,6-11,8.9,,1.9,Jake Voskuhl,C,2.1,316969,1687500,0.8,CHI,14.0,2001,0.0
123,3.0,0.3,1,0.426,0.29100000000000004,76,6-6,31.1,1.6,11.9,Metta World Peace,SF,3.9,1160760,6157895,2.1,CHI,21.6,2001,0.182
124,3.7,1.0,3,0.42200000000000004,0.39899999999999997,82,6-5,34.9,2.6,15.5,Derek Anderson,SG,4.4,2250000,8443500,2.0,SAS,21.9,2001,0.255
125,3.8,0.7,3,0.496,0.40399999999999997,79,6-4,26.1,2.1,9.4,Antonio Daniels,PG,2.1,2820000,2200000,1.4,SAS,17.5,2001,0.311
126,3.0,3.6,3,0.504,0.259,82,6-11,38.7,1.8,22.2,Tim Duncan,PF,12.2,9660000,14260641,3.0,SAS,28.7,2001,0.019
127,0.2,0.8,R,0.37,0.444,27,6-7,6.8,2.5,2.0,Ira Newble,SF,1.3,316969,2950200,0.3,SAS,17.6,2001,0.16399999999999998
128,0.8,2.5,4,0.447,0.17600000000000002,57,6-7,21.4,0.0,7.7,Malik Rose,PF,5.4,2570000,5462500,1.3,SAS,19.8,2001,0.046
129,0.5,0.9,4,0.48200000000000004,0.33299999999999996,61,6-9,15.8,0.0,5.3,Samaki Walker,PF,4.0,2960000,995046,1.1,SAS,18.3,2001,0.012
130,1.6,1.5,6,0.535,0.32,81,6-9,28.7,2.5,13.6,Donyell Marshall,SF,7.0,5630000,5023850,1.6,UTA,21.7,2001,0.151
131,0.3,2.9,5,0.495,0.5,81,7-2,18.4,1.2,4.5,Greg Ostertag,C,5.1,5200000,4000000,0.8,UTA,12.7,2001,0.006999999999999999
132,0.2,2.2,1,0.382,0.556,27,6-9,4.7,1.2,2.1,Scott Padgett,PF,1.4,730800,807546,0.4,UTA,22.4,2001,0.209
133,2.1,0.4,7,0.45299999999999996,0.413,78,6-7,31.7,2.4,12.0,Bryon Russell,SF,4.2,4570000,1100000,1.4,UTA,17.5,2001,0.32899999999999996
134,0.5,2.2,R,0.38,0.083,40,6-5,7.3,1.2,2.2,DeShawn Stevenson,SG,0.7,828120,2500000,0.7,UTA,21.3,2001,0.132
135,3.9,0.8,3,0.444,0.385,82,6-1,19.8,1.2,6.1,Jacque Vaughn,PG,1.8,1500000,932546,1.6,UTA,16.9,2001,0.198
136,0.5,3.8,7,0.494,0.16699999999999998,82,7-6,24.4,0.0,7.1,Shawn Bradley,C,7.4,8370000,4000000,1.1,DAL,13.9,2001,0.013000000000000001
137,1.3,1.1,1,0.44299999999999995,0.28600000000000003,37,6-4,22.2,3.1,6.2,Greg Buckner,SG,4.2,1100000,870046,0.7,DAL,14.1,2001,0.036000000000000004
138,3.6,3.8,6,0.389,0.39799999999999996,82,6-2,29.6,0.7,9.0,Howard Eisley,SG,2.4,4250000,1100000,1.2,DAL,15.6,2001,0.39899999999999997
139,4.4,0.5,5,0.48100000000000004,0.34600000000000003,82,6-7,42.0,2.5,21.5,Michael Finley,SF,5.2,8400000,14609375,2.3,DAL,24.9,2001,0.16899999999999998
140,1.3,1.2,8,0.513,0.33299999999999996,53,6-11,17.5,0.0,7.5,Christian Laettner,C,4.0,6625000,1100000,1.3,DAL,21.0,2001,0.009000000000000001
141,0.7,0.3,R,0.528,0.33299999999999996,40,6-8,10.8,3.1,3.3,Eduardo Najera,PF,2.4,316969,3809524,0.4,DAL,15.0,2001,0.027000000000000003
142,7.3,3.8,4,0.518,0.406,70,6-3,34.1,4.1,15.6,Steve Nash,PG,3.2,5500000,8750000,2.9,DAL,21.1,2001,0.27699999999999997
143,2.1,0.5,2,0.513,0.387,82,7-0,38.1,4.3,21.8,Dirk Nowitzki,PF,9.2,1693560,12584688,1.9,DAL,23.8,2001,0.313
144,3.4,0.7,3,0.445,0.376,77,6-3,23.2,1.0,9.3,Chauncey Billups,SG,2.1,2250000,5455200,1.4,MIN,19.5,2001,0.33
145,5.0,2.7,5,0.486,0.28800000000000003,81,6-11,39.5,3.0,22.0,Kevin Garnett,PF,11.4,19610000,16000000,2.8,MIN,27.0,2001,0.045
